39,39
69,69
2007,2007年
2008,2008年
2009,2009年
2010,2010年
2011,2011年
2012,2012年
2013,2013年
2014,2014年
2015,2015年
2016,2016年
2017,2017年
2018,2018年
2019,2019年
2020,2020年
2021,2021年
2022,2022年
2023,2023年
2024,2024年
;(,;(
;),;)
;3,;3
;d,;d
;o,;o
;p,;p
;q,;q
:/,:/
:<,:<
:>,:>
:>=,:>=
:|,:|
:3,:3
:d,:D
:i,:I
:o,:o
:p,:p
:q,:q
:t,:t
:x,:x
!,!
!!,!!
!?,!?
?,?
??,??
._.,._.
...,...
...?,...?
@_@,@_@
\||/,\||/
\m/,\m/
\n/,\n/
\o/,\o/
^_^,^_^
^^^,^^^
<|>_<|>,<|>_<|>
<o>_<o>,<o>_<o>
>_<,>_<
>_o,>_o
>:(,>:(
>:),>:)
>o<,>o<
|_|,|_|
0_0,0_0
1970s_(style),1970年代（スタイル）
1980s_(style),1980年代（スタイル）
1990s_(style),1990年代（スタイル）
1boy,男の子1人
1girl,女の子1人
1koma,1コマ
1other,その他1人
2000s_(style),2000年代（スタイル）
2b_(nier:automata),2b (ニーア オートマタ)
2b_(nier:automata)_(cosplay),2b (ニーア オートマタ) (コスプレ)
2boys,男の子2人
2girls,女の子2人
2koma,2コマ
2others,その他2人
3:,3:
3boys,男の子3人
3d_background,3D背景
3girls,女の子3人
3koma,3コマ
3others,その他3人
4boys,男の子4人
4girls,女の子4人
4koma,4コマ
4others,その他4人
5boys,男の子5人
5girls,女の子5人
5koma,5コマ
6+boys,男の子6人以上
6+girls,女の子6人以上
6+others,その他6人以上
9a-91_(girls'_frontline),9a-91（ドールズフロントライン）
9s_(nier:automata),9s (ニーア オートマタ)
a_certain_high_school_uniform,とある高校の制服
a2_(nier:automata),a2 (ニーア オートマタ)
abe_nana,安倍ナナ
abigail_williams_(fate),アビゲイル・ウィリアムズ（運命）
abigail_williams_(swimsuit_foreigner)_(fate),アビゲイル・ウィリアムズ(水着外国人)(Fate)
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),アビゲイル・ウィリアムズ（水着外国人）（第三再臨）（運命）
abigail_williams_(third_ascension)_(fate),アビゲイル・ウィリアムズ（第三再臨）（運命）
abigail_williams_(traveling_outfit)_(fate),アビゲイル・ウィリアムズ (旅装) (運命)
above_clouds,雲の上
abs,腹筋
absol,アブソル
absolutely_everyone,絶対にみんな
abstract,抽象的な
abstract_background,抽象的な背景
absurdly_long_hair,異常に長い髪
abukuma_(kancolle),阿武隈（艦これ）
abuse,乱用
abyssal_ship,深海棲艦
accelerator_(toaru_majutsu_no_index),アクセラレーター（とある魔術の禁書目録）
accident,事故
accidental_exposure,偶発的な暴露
ace_(playing_card),エース（トランプ）
ace_of_hearts,ハートのエース
ace_of_spades,スペードのエース
acerola_(pokemon),アセロラ（ポケモン）
achilles_(fate),アキレス（運命）
acorn,ドングリ
acoustic_guitar,アコースティックギター
acrylic_paint_(medium),アクリル絵の具（中）
ad,広告
adachi_rei,安達れい
adam's_apple,アダムのりんご
adaman_(pokemon),アダマン（ポケモン）
adapted_costume,適応された衣装
adapted_turret,適応された砲塔
adapted_uniform,適応したユニフォーム
adidas,アディダス
adjusting_buruma,ブルマを整える
adjusting_clothes,衣服を整える
adjusting_eyewear,メガネを整える
adjusting_gloves,手袋を整える
adjusting_hair,髪を整える
adjusting_headwear,帽子を整える
adjusting_legwear,レッグウェアを整える
adjusting_necktie,ネクタイを整える
adjusting_panties,パンティーを整える
adjusting_scarf,スカーフを整える
adjusting_swimsuit,水着を整える
admiral_(kancolle),提督（艦これ）
